,response_type,0,1,2
0,Cutting_Trees,"Cutting trees involves the removal of trees from a forested area. It can lead to deforestation, loss of habitat, and environmental degradation. To learn more about cutting trees, you can visit [link_to_resource].","Kukata miti ni kuondoa miti kutoka eneo lenye misitu. Inaweza kusababisha ukataji miti, kupotea kwa makazi, na uharibifu wa mazingira. Ili kujifunza zaidi kuhusu kukata miti, unaweza kutembelea [kiungo_kwa_rasilimali].","Guuuira iria kùharùa mĩĩngĩ ni gwĩthuritha mĩĩ ngĩtĩ na mĩgumo. Ĩci igiĩrĩa gĩtugagĩtĩra kũndũkũrwo, kũigana gũciarwo kũrĩa mĩhĩĩga cia nĩgũĩ, na kũharĩa mũgũũ wa bũrũri. Aikarĩ kũnjĩa na nũngi mũthĩra kũriukĩra kũharùa mĩĩngĩ, ũngĩnda kwĩĩrwo [kiungo_kwa_rasilimali]."
1,Garbage_pile_up,"Garbage pile-up refers to the accumulation of waste materials in a particular area, often leading to environmental pollution and health hazards. To learn more about garbage pile-up, you can visit [link_to_resource].","Makundi ya taka yanamaanisha maficho ya vifaa vya taka katika eneo fulani, mara nyingi ikisababisha uchafuzi wa mazingira na hatari za kiafya. Ili kujifunza zaidi kuhusu makundi ya taka, unaweza kutembelea [kiungo_kwa_rasilimali].","Kũrĩgana na kũriharĩa kũrĩa mĩna yandũ mĩrũ nĩ gũrĩtana mĩna ya kũgũkũrĩa wĩndũ wa mahurĩka, cia-inĩ cia-inĩ ituma-inĩ kũmũra mũtwe na gũmĩkĩrĩria-inĩ nĩ ĩbũmĩsĩ nĩ nĩmarũ. Aikarĩ kũnjĩa na nũngi mũthĩra kũriukĩra kũrĩgana na kũriharĩa kũrĩa mĩna yandũ, ũngĩnda kwĩĩrwo [kiungo_kwa_rasilimali]."
2,Potholes,"Potholes are damaged areas on roads where the surface has worn away, leaving holes. They can cause damage to vehicles and pose safety risks to drivers. To learn more about potholes, you can visit [link_to_resource].","Matundu ya barabara ni maeneo yaliyoharibika kwenye barabara ambapo uso umeharibika, ukiacha mashimo. Wanaweza kusababisha uharibifu kwa magari na kuwa na hatari za usalama kwa madereva. Ili kujifunza zaidi kuhusu matundu ya barabara, unaweza kutembelea [kiungo_kwa_rasilimali].","Mĩrĩnda mĩrĩa mĩrĩtiri-inĩ cia-matungũ yĩa mwĩrĩro nĩ maĩnaga mũciara ũrĩa mũnyarĩria, ĩnyua ĩrĩa haĩgĩrĩi. Cĩiĩkana cia-matungũ cĩa-matungũ cĩa-matungũ cĩa-matungũ cĩa-matungũ. Aikarĩ kũnjĩa na mũthĩra mũndũrĩ kũriukĩra mĩrĩnda, ũngĩnda kwĩĩrwo [kiungo_kwa_rasilimali]."
3,Hanging_Power_Lines,"Hanging power lines are electrical cables suspended above the ground, typically used for transmitting electricity. They can pose a danger if they are damaged or come into contact with objects or people. To learn more about hanging power lines, you can visit [link_to_resource].","Nyaya za umeme zilizowekwa ni nyaya za umeme zilizowekwa juu ya ardhi, kawaida hutumiwa kwa kusambaza umeme. Wanaweza kuwa hatari ikiwa zinaharibiwa au kugusa vitu au watu. Ili kujifunza zaidi kuhusu nyaya za umeme zilizowekwa, unaweza kutembelea [kiungo_kwa_rasilimali].","Mĩhuri ya njagĩha mĩnjĩra-inĩ nĩ makĩrĩo ma-inĩ ya kũrĩrĩka kwĩrĩa, kĩra-inĩ ĩtugagĩrĩrĩra mũnene. Ĩra iria haĩgĩrĩi ĩkĩ na waĩrĩa na waĩndũ ni-inĩ ĩnaĩgĩthĩra maĩnaga. Aikarĩ kũnjĩa na mũthĩra mũndũrĩ kũriukĩra mĩhuri ya njagĩha, ũngĩnda kwĩĩrwo [kiungo_kwa_rasilimali]."
4,Open_sewer,"An open sewer is a system for carrying off waste and rainwater from streets and houses through underground pipes, typically leading to a main sewer or sewage treatment plant. It can cause health hazards and environmental pollution. To learn more about open sewers, you can visit [link_to_resource].","Mifereji wazi ni mfumo wa kubeba taka na maji ya mvua kutoka mitaani na nyumbani kupitia mabomba ya chini ya ardhi, kawaida ikielekea kwenye mfereji mkuu au kiwanda cha kusafisha maji taka. Inaweza kusababisha hatari za kiafya na uchafuzi wa mazingira. Ili kujifunza zaidi kuhusu mifereji wazi, unaweza kutembelea [kiungo_kwa_rasilimali].","Mũnyakio wa mbura ni mbembe-inĩ wa kũhĩrĩra nĩ ũdĩĩ wa mĩtugo ĩrĩa mĩthiri-inĩ na mĩhũrĩ-inĩ kuherera mbembe-inĩ, mũgĩka-inĩ ĩrĩa ĩhĩrĩ ĩra thĩina ndekere na ĩrĩa thĩina. Kĩra ĩtugĩrĩrĩra maĩnaga na uchafuzi wa mũgogo. Aikarĩ kũnjĩa na mũthĩra mũndũrĩ kũriukĩra mbura-inĩ, ũngĩnda kwĩĩrwo [kiungo_kwa_rasilimali]."
5,Industrial_pollution,"Industrial pollution refers to the contamination of the environment and natural resources by industrial activities. It can have adverse effects on ecosystems, human health, and the economy. To learn more about industrial pollution, you can visit [link_to_resource].","Uchafuzi wa viwanda unahusu uchafuzi wa mazingira na rasilimali asilia na shughuli za viwanda. Inaweza kuwa na athari mbaya kwa mifumo ya ikolojia, afya ya binadamu, na uchumi. Ili kujifunza zaidi kuhusu uchafuzi wa viwanda, unaweza kutembelea [kiungo_kwa_rasilimali].","Mũguĩka wa mĩtugo ni wa kũhĩrĩra mũgogo na rĩthi-inĩ na hingĩka-inĩ wa mĩtugo. Ĩkihĩrĩ ĩtugĩrĩrĩra maĩnaga nĩ gũtamĩka maĩndĩ yemwo, ũciarwo wakwa, na hĩrĩa wa ĩkũmũgĩra. Aikarĩ kũnjĩa na mũthĩra mũndũrĩ kũriukĩra mũguĩka wa mĩtugo, ũngĩnda kwĩĩrwo [kiungo_kwa_rasilimali]."
6,Illegal_dumping,"Illegal dumping refers to the disposal of waste materials in unauthorized areas, such as public spaces or natural habitats, resulting in environmental pollution and degradation. To learn more about illegal dumping, you can visit [link_to_resource].","Kutupa taka kiharamu kunahusu kutupa vifaa vya taka katika maeneo yasiyoruhusiwa, kama vile nafasi za umma au makazi ya asili, na kusababisha uchafuzi wa mazingira na uharibifu. Ili kujifunza zaidi kuhusu kutupa taka kiharamu, unaweza kutembelea [kiungo_kwa_rasilimali].","Kũrĩmenyũka maĩtũgo mũgũthĩ ni wĩ na rĩthĩ-inĩ rĩemwo, ngĩcikĩrĩra mĩtugo na mĩrĩngĩ ikĩrĩ rĩa-ĩtũrĩra mũnene wa hĩngĩka, kĩrĩa ĩthurĩrĩa mĩtugo ĩci-inĩ na ũkĩciarĩra. Aikarĩ kũnjĩa na mũthĩra mũndũrĩ kũriukĩra kũrĩmenyũka maĩtũgo, ũngĩnda kwĩĩrwo [kiungo_kwa_rasilimali]."
7,Transformer_damage,"Transformer damage occurs when the electrical equipment used to step up or step down voltage experiences a fault or malfunction, leading to power outages and electrical hazards. To learn more about transformer damage, you can visit [link_to_resource].","Uharibifu wa transfoma hutokea wakati vifaa vya umeme vinavyotumika kusafisha au kupunguza voltage vinapopata hitilafu au kushindwa, ikisababisha kukatika kwa umeme na hatari za umeme. Ili kujifunza zaidi kuhusu uharibifu wa transfoma, unaweza kutembelea [kiungo_kwa_rasilimali].","Gũturĩka kwa rĩmi-inĩ wa transfoma ũrĩa wĩ na rĩthĩ-inĩ rĩa kũherĩria kwĩrĩcia-inĩ kĩrĩkĩ cia maundũka cia njĩra cia ũmeme, kĩngĩ, ta gĩthĩna wa mĩhĩĩga. Aikarĩ kũnjĩa na mũthĩra mũndũrĩ kũriukĩra kũturĩka wa transfoma, ũngĩnda kwĩĩrwo [kiungo_kwa_rasilimali]."
8,Swollen_River,"A swollen river occurs when there is an increased volume of water flowing in a river, usually due to heavy rainfall or snowmelt. It can lead to flooding and pose risks to nearby communities and infrastructure. To learn more about swollen rivers, you can visit [link_to_resource].","Mto unaofura hutokea wakati kuna ongezeko la kiasi cha maji kinachopita katika mto, kawaida kutokana na mvua kubwa au kuyeyuka kwa theluji. Inaweza kusababisha mafuriko na kuleta hatari kwa jamii na miundombinu inayozunguka. Ili kujifunza zaidi kuhusu mito iliyofurika, unaweza kutembelea [kiungo_kwa_rasilimali].","Ĩrĩngĩ wa athirĩrĩria wa mĩa wa kĩmĩa mĩkũrĩria-inĩ, kĩrĩa ĩhurĩwa ũmũthĩ cia kĩgoococo-inĩ kĩmĩa mĩrau-inĩ. Ĩtũraga kũrĩa mwĩhĩra na kũrĩgũka mũhĩra wa ikĩrĩa na mĩciĩ na miundombinu ĩhuraga. Aikarĩ kũnjĩa na mũthĩra mũndũrĩ kũriukĩra kũrĩngerana wa mĩa, ũngĩnda kwĩĩrwo [kiungo_kwa_rasilimali]."
9,Broken_Bridge,"A broken bridge is a bridge that has suffered damage or structural failure, making it unsafe or impassable. It can disrupt transportation and pose risks to people and vehicles. To learn more about broken bridges, you can visit [link_to_resource].","Daraja lililovunjika ni daraja ambalo limepata uharibifu au kushindwa kwa miundo, likifanya kuwa salama au lisilopitika. Inaweza kuvuruga usafirishaji na kuwa na hatari kwa watu na magari. Ili kujifunza zaidi kuhusu madaraja yaliyovunjika, unaweza kutembelea [kiungo_kwa_rasilimali].","Thîngû yũnyekaga-inĩ ndũme ni thîngû iciambitĩria kũraga ciana nĩ rũrĩndĩ wa ndĩrĩ nĩ mũtũmũ, ũrĩa ĩthurĩria gũkĩmũgĩria-inĩ na kũgũka. Ĩtũraga kũtũthũkĩa ciana na kũnyũka. Aikarĩ kũnjĩa na mũthĩra mũndũrĩ kũriukĩra thîngû iciambitĩria, ũngĩnda kwĩĩrwo [kiungo_kwa_rasilimali]."
